method,sharpe_score,mean_correlation,std_correlation,training_time
GPU_Neural,-0.031734345747372085,-0.0034766707969579023,0.10955545844980291,0.5487191677093506
XGBoost_GPU,-0.7873214963957779,-0.03445181303487616,0.04375825275010352,9.415651798248291
LightGBM_CPU,-0.40871107237625703,-0.023279401299184158,0.05695808817666011,0.5999464988708496
GPU_Ensemble,-0.10275181932642169,-0.011157985042141907,0.10859160563079912,0.0
