method,sharpe_score,mean_correlation,std_correlation,training_time
TimeSeriesTransformer,-0.03553958780345167,-0.004026341246484257,0.11329172608167423,2.381648063659668
AdvancedFeatureTransformer,0.16376478560393645,0.021813549103451763,0.13320048643551258,3.1917731761932373
