methods,mean_spearman,std_spearman,sharpe_like_score
Multi-Model Ensemble (LGB+XGB+RF),0.12094251771732492,0.1488543187543955,0.8124891419299423
Classical Ensemble (LGB+XGB),0.13077506309856213,0.2023252031503103,0.6463607156316925
Single Model (LightGBM),0.07954420666014798,0.21716785234598326,0.3662798420708296
